Year,Births,Deaths,Domestic Migration,International Migration,Net Change
2020,63501,-52230,-9000,8000,10271
2019,66033,-45516,-1000,9000,28517
2018,67348,-44730,8000,10000,40618
2017,68603,-44361,9000,10500,43742
2016,69746,-43050,-2000,17000,41696
2015,69835,-42652,-10000,16500,33683
2014,69916,-41271,-5000,16200,39845
2013,69183,-40981,-1000,12000,39202
2012,68783,-40020,-7000,13000,34763
2011,68416,-39799,-3000,14000,39617
2010,68407,-38857,-12000,9000,26550
2009,70617,-37801,-8000,9500,34316
2008,72382,-38431,-5000,10000,38951
2007,73675,-37086,-2000,10500,45089
2006,73515,-36963,-1500,11000,46052
2005,70920,-37498,-13000,10500,30922
2004,70614,-37012,-9500,10000,34102
2003,70053,-37603,-7000,10500,35950
2002,68037,-38437,-4000,11000,36600
2001,66617,-37505,8000,11500,48612
